name,discipline,games
Athletics at the 1972 Summer Olympics - Men's High Jump,Men's High jump,1972 Summer Olympics
Gymnastics at the 1992 Summer Olympics – Women's Balance Beam,Women's Balance Beam,1992 Summer Olympics
Boxing at the 1968 Summer Olympics - Welterweight,Men's Boxing; Welterweight 63.5-67kg,1968 Summer Olympics
Shooting at the 1960 Summer Olympics -Men's 25 metre rapid fire pistol,Men's 25m rapid fire pistol,1960 Summer Olympics
Judo at the 1980 Summer Olympics - Men's Lightweight (71kg),Men's Judo; 65-71kg (Lightweight),1980 Summer Olympics
Gymnastics at the 1996 Summer Olympics – Men's Vault,Men's Vault,1996 Summer Olympics
Wrestling at the 1928 Summer Olympics - Men's Freestyle Lightweight,Men's Freestyle Wrestling; Lightweight 61-66kg,1928 Summer Olympics
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Featherweight,Men's Greco-Roman Wrestling; Featherweight 58-62 kg,1928 Summer Olympics
Wrestling at the 1936 Summer Olympics - Men's Freestyle Middleweight,Men's Freestyle Wrestling; Middleweight 72-79 kg,1936 Summer Olympics
Weightlifting at the 2012 Summer Olympics – Men's 85 kg,Men's Weightlifting; Light Heavyweight 77-85 kg,2012 Summer Olympics
Basketball at the 2012 Summer Olympics – Men,Men's basketball,2012 Summer Olympics
Gymnastics at the 2012 Summer Olympics – Women's floor,Women's Floor exercises,2012 Summer Olympics
Rowing at the 2012 Summer Olympics – Women's lightweight double sculls,Women's Lightweight double sculls,2012 Summer Olympics
Sailing at the 2008 Summer Olympics - Men's sailboard,Men's Sailboard,2008 Summer Olympics
Gymnastics at the 1920 Summer Olympics - Men's team; Swedish system,,1920 Summer Olympics
Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Welterweight,Men's Greco-Roman Wrestling; Welterweight 68-74kg,1980 Summer Olympics
Field hockey at the 1992 Summer Olympics,,
