country;event;medal;medalist;olympics
Trinidad and Tobago;Athletics;1976 Summer Olympics;Men's 100 metres;Gold medal;Hasely Crawford;1976 Summer Olympics
China;Swimming;2008 Summer Olympics;Women's 200 metre butterfly;Silver medal;Jiao Liuyang;2008 Summer Olympics
United Kingdom;Athletics;1912 Summer Olympics;Men's 1500 metres;Gold medal;Arnold Jackson;1912 Summer Olympics
Canada;Short Track Speed Skating;1994 Winter Olympics;Women's 1000m;Silver medal;Nathalie Lambert;1994 Winter Olympics
Netherlands;Cycling;1924 Summer Olympics;Men's 50 kilometres;Gold medal;Ko Willems;1924 Summer Olympics
Denmark;Cycling;1972 Summer Olympics;Men's 1000m Time Trial;Gold medal;Niels Fredborg;1972 Summer Olympics
Romania;Gymnastics;1980 Summer Olympics;Women's Vault;Bronze medal;Melita Ruhn;1980 Summer Olympics
German Democratic Republic;Swimming;1976 Summer Olympics;Women's 200 metre freestyle;Gold medal;Kornelia Ender;1976 Summer Olympics
West Germany;Athletics;1976 Summer Olympics;Men's 5000 metres;Bronze medal;Klaus-Peter Hildenbrand;1976 Summer Olympics
Austria;Swimming;1900 Summer Olympics;Men's 200 metre backstroke;Silver medal;Karl Ruberl;1900 Summer Olympics
Sweden;Gymnastics;1956 Summer Olympics;Men's Floor Exercises;Silver medal;William Thoresson;1956 Summer Olympics
France;Alpine Skiing;1968 Winter Olympics;Men's Giant Slalom;Gold medal;Jean-Claude Killy;1968 Winter Olympics
Hungary;Canoeing;1976 Summer Olympics;Women's K-1 500 metres;Bronze medal;Klára Rajnai;1976 Summer Olympics
Czech Republic;Canoeing;1992 Summer Olympics;Men's slalom C-1;Gold medal;Lukáš Pollert;1992 Summer Olympics
Belgium;Archery;1900 Summer Olympics;Sur la Perche à la Pyramide;Bronze medal;Louis Glineux;1900 Summer Olympics
Austria;Nordic Combined;1992 Winter Olympics;Individual;Bronze medal;Klaus Sulzenbacher;1992 Winter Olympics
Australia;Swimming;1956 Summer Olympics;Men's 1500 metre freestyle;Gold medal;Murray Rose;1956 Summer Olympics
Hungary;Fencing;1932 Summer Olympics;Women's Foil, Individual;Bronze medal;Erna Bogen;1932 Summer Olympics
United States of America;Athletics;1932 Summer Olympics;Men's pole vault;Gold medal;Bill Miller;1932 Summer Olympics
Russia;Cycling;1912 Summer Olympics;Men's individual time trial;;Fridrihs Bošs;1912 Summer Olympics
Italy;Cycling;1932 Summer Olympics;Men's Individual Time Trial;Gold medal;Attilio Pavesi;1932 Summer Olympics
Sweden;Wrestling;1908 Summer Olympics;Men's Greco-Roman Middleweight;Silver medal;Mauritz Andersson;1908 Summer Olympics
Bulgaria;Boxing;1996 Summer Olympics;Lightweight;Silver medal;Tontcho Tontchev;1996 Summer Olympics
South Korea;Gymnastics;1996 Summer Olympics;Men's Horizontal Bar;Bronze medal;Lee Joo-Hyung;1996 Summer Olympics
Ireland;Swimming;1996 Summer Olympics;Women's 400 metre freestyle;Gold medal;Michelle Smith;1996 Summer Olympics
Sweden;Wrestling;1996 Summer Olympics;Men's Greco-Roman Heavyweight;Bronze medal;Mikael Ljungberg;1996 Summer Olympics
Germany;Cycling;2008 Summer Olympics;Women's cross-country;Gold medal;Sabine Spitz;2008 Summer Olympics
Finland;Athletics;1988 Summer Olympics;Men's javelin throw;Gold medal;Tapio Korjus;1988 Summer Olympics
New Zealand;Canoeing;2004 Summer Olympics;Men's K-1 1000 metres;Silver medal;Ben Fouhy;2004 Summer Olympics
United Kingdom;Canoeing;2000 Summer Olympics;Men's slalom K-1;Silver medal;Paul Ratcliffe;2000 Summer Olympics
Australia;Swimming;2004 Summer Olympics;Men's 400 metre freestyle;Gold medal;Ian Thorpe;2004 Summer Olympics
Germany;Cycling;2000 Summer Olympics;Men's Sprint;Bronze medal;Jens Fiedler;2000 Summer Olympics
Russia;Athletics;2004 Summer Olympics;Women's Pole Vault;Silver medal;Svetlana Feofanova;2004 Summer Olympics
Croatia;Weightlifting;2004 Summer Olympics;Men's Lightweight 62-69 kg;Bronze medal;Nikolay Pechalov;2004 Summer Olympics
Germany;Judo;2000 Summer Olympics;Women's 48 kg;Bronze medal;Anna-Maria Gradante;2000 Summer Olympics
Germany;Diving;2000 Summer Olympics;Women's 3 metre springboard;Bronze medal;Dörte Lindner;2000 Summer Olympics
Kazakhstan;Boxing;2004 Summer Olympics;Lightweight;Bronze medal;Serik Yeleuov;2004 Summer Olympics
Australia;Swimming;2000 Summer Olympics;Women's 200 metre butterfly;Silver medal;Susan O'Neill;2000 Summer Olympics
Ukraine;Gymnastics;1996 Summer Olympics;Women's balance beam;Silver medal;Lilia Podkopayeva;1996 Summer Olympics
United States of America;Athletics;1948 Summer Olympics;Men's high jump;Bronze medal;George Stanich;1948 Summer Olympics
United States of America;Swimming;1960 Summer Olympics;Men's 200 metre butterfly;Bronze medal;John David Gillanders;1960 Summer Olympics
Ukraine;Athletics;2008 Summer Olympics;Women's 1500 metres;Bronze medal;Nataliya Tobias;2008 Summer Olympics
Finland;Gymnastics;1948 Summer Olympics;Men's pommel horse;Gold medal;Veikko Huhtanen;1948 Summer Olympics
Kenya;Athletics;1996 Summer Olympics;Women's 5000 metres;Silver medal;Pauline Konga;1996 Summer Olympics
Sweden;Wrestling ;1936 Summer Olympics;Men's Freestyle Welterweight;Silver medal;Thure Andersson;1936 Summer Olympics
Hungary;Athletics;1948 Summer Olympics;Men's hammer throw;Gold medal;Imre Németh;1948 Summer Olympics
United States of America;Athletics;1900 Summer Olympics;Men's 60 metres;Gold medal;Alvin Kraenzlein;1900 Summer Olympics
Australia;Shooting;1984 Summer Olympics;Women's 25 metre pistol;Bronze medal;Patricia Dench;1984 Summer Olympics
Soviet Union;Wrestling;1980 Summer Olympics;Men's freestyle Lightweight;Gold medal;Saipulla Absaidov;1980 Summer Olympics
Yugoslavia;Wrestling;1984 Summer Olympics;Men's Freestyle Welterweight;Bronze medal;Saban Sejdi;1984 Summer Olympics
Japan;Gymnastics;1952 Summer Olympics;Men's Vault;Silver medal;Masao Takemoto;1952 Summer Olympics
United States of America;Swimming;1920 Summer Olympics;Women's 100 metre freestyle;Gold medal;Ethelda Bleibtrey;1920 Summer Olympics
Switzerland;Weightlifting;1920 Summer Olympics;Men's Light Heavyweight 75-82.5 kg;Silver medal;Fritz Hünenberger;1920 Summer Olympics
Japan;Swimming;1952 Summer Olympics;Men's 100 metre freestyle;Silver medal;Hiroshi Suzuki;1952 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's shot put;Bronze medal;Harry B. Liversedge;1920 Summer Olympics
Soviet Union;Shooting;1960 Summer Olympics;Trap;Bronze medal;Sergei Kalinin;1960 Summer Olympics
China;Short Track Speed Skating;2002 Winter Olympics;Women's 1000m;Gold medal;Yang Yang;2002 Winter Olympics
Switzerland;Alpine Skiing;1956 Winter Olympics;Women's Downhill;Silver medal;Frieda Dänzer;1956 Winter Olympics
France;Fencing;1992 Summer Olympics;Men's Sabre, Individual;Bronze medal;Jean-François Lamour;1992 Summer Olympics
United States of America;Athletics;1952 Summer Olympics;Men's Long Jump;Gold medal;Jerome Biffle;1952 Summer Olympics
Sweden;Shooting;1980 Summer Olympics;Skeet;Silver medal;Göran Larsson;1980 Summer Olympics
China;Weightlifting;1992 Summer Olympics;Men's Featherweight 56-60 kg;Bronze medal;He Yingqiang;1992 Summer Olympics
China;Table Tennis;1992 Summer Olympics;Men's Singles;Bronze medal;Ma Wenge;1992 Summer Olympics
Germany;Fencing;1936 Summer Olympics;Women's Foil, Individual;Silver medal;Helene Mayer;1936 Summer Olympics
Finland;Speed skating;1936 Winter Olympics;Men's 5000m;Bronze medal;Antero Ojala;1936 Winter Olympics
Ethiopia;Athletics;1980 Summer Olympics;Men's 5000 metres;Gold medal;Miruts Yifter;1980 Summer Olympics
Sweden;Cross-Country Skiing;1936 Winter Olympics;Men's 18 km;Gold medal;Erik August Larsson;1936 Winter Olympics
Romania;Gymnastics;1996 Summer Olympics;Women's Vault;Gold medal;Simona Amânar;1996 Summer Olympics
Bahamas;Athletics;1992 Summer Olympics;Men's triple jump;Bronze medal;Frank Rutherford;1992 Summer Olympics
Namibia;Athletics;1992 Summer Olympics;Men's 200 metres;Silver medal;Frankie Fredericks;1992 Summer Olympics
Thailand;Boxing;1992 Summer Olympics;Welterweight;Bronze medal;Arkhom Chenglai;1992 Summer Olympics
Denmark;Boxing;1992 Summer Olympics;Super Heavyweight;Bronze medal;Brian Nielsen;1992 Summer Olympics
United States of America;Cycling;1996 Summer Olympics;Men's 1000m Time Trial;Silver medal;Erin W. Hartwell;1996 Summer Olympics
United States of America;Swimming;1996 Summer Olympics;Men's 400 metre individual medley;Gold medal;Tom Dolan;1996 Summer Olympics
Poland;Wrestling;1996 Summer Olympics;Men's Greco-Roman Welterweight;Bronze medal;Józef Tracz;1996 Summer Olympics
Germany;Alpine Skiing;1964 Winter Olympics;Men's Downhill;Bronze medal;Wolfgang Bartels;1964 Winter Olympics
Switzerland;Alpine skiing;1948 Winter Olympics;Men's slalom;Gold medal;Edy Reinalter;1948 Winter Olympics
Sweden;Equestrian;1912 Summer Olympics;Individual eventing;Gold medal;Axel Nordlander;1912 Summer Olympics
Sweden;Diving;1920 Summer Olympics;Women's 10 metre platform;Bronze medal;Eva Olliwier;1920 Summer Olympics
Netherlands;Speed Skating;1968 Winter Olympics;Men's 5000m;Bronze medal;Peter Nottet;1968 Winter Olympics
China;Athletics;1988 Summer Olympics;Women's shot put;Bronze medal;Li Meisu;1988 Summer Olympics
Belgium;Archery;1900 Summer Olympics;Au Cordon Doré 33 metres;Gold medal;Hubert Van Innis;1900 Summer Olympics
Poland;Athletics;1972 Summer Olympics;Men's Decathlon;Bronze medal;Ryszard Katus;1972 Summer Olympics
Russia;Cross Country Skiing;1994 Winter Olympics;Women's 15km;Silver medal;Lyubov Yegorova;1994 Winter Olympics
German Democratic Republic;Speed Skating;1988 Winter Olympics;Women's 500m;Bronze medal;Karin Enke;1988 Winter Olympics
United States of America;Athletics;1948 Summer Olympics;Men's decathlon;Bronze medal;Floyd Simmons;1948 Summer Olympics
United States of America;Athletics;1932 Summer Olympics;Women's 80m Hurdles;Silver medal;Evelyne Hall;1932 Summer Olympics
Australia;Swimming;1960 Summer Olympics;Women's 100 metre butterfly;Bronze medal;Jan Andrew;1960 Summer Olympics
United Kingdom;Athletics;1912 Summer Olympics;Men's 5000 metres;Bronze medal;George Hutson;1912 Summer Olympics
South Korea;Short Track Speed Skating;1994 Winter Olympics;Men's 1000m;Gold medal;Kim Ki-hoon;1994 Winter Olympics
United Kingdom;Jeu De Paume;1908 Summer Olympics;Jeu de Paume;Silver medal;Eustace Miles;1908 Summer Olympics
Norway;Figure skating;1928 Winter Olympics;Women's Singles;Gold medal;Sonja Henie;1928 Winter Olympics
China;Shooting;1996 Summer Olympics;Women's 25 metre pistol;Gold medal;Li Duihong;1996 Summer Olympics
Australia;Swimming;1996 Summer Olympics;Men's 200 metre freestyle;Bronze medal;Daniel Kowalski;1996 Summer Olympics
United Kingdom;Boxing;1908 Summer Olympics;Bantamweight;Silver medal;John Condon;1908 Summer Olympics
United States of America;Athletics;1988 Summer Olympics;Women's 200 metres;Gold medal;Florence Griffith-Joyner;1988 Summer Olympics
Denmark;Boxing;1932 Summer Olympics;Men's light heavyweight;Bronze medal;Peter Jørgensen;1932 Summer Olympics
Iran;Wrestling;1968 Summer Olympics;Men's freestyle bantamweight;Bronze medal;Aboutaleb Talebi;1968 Summer Olympics
Brazil;Swimming;1952 Summer Olympics;Men's 1500 metre freestyle;Bronze medal;Tetsuo Okamoto;1952 Summer Olympics
Kenya;Athletics;2008 Summer Olympics;Men's 5000 metres;Silver medal;Eliud Kipchoge;2008 Summer Olympics
Soviet Union;Gymnastics;1976 Summer Olympics;Men's rings;Silver medal;Alexander Dityatin;1976 Summer Olympics
United States of America;Athletics;1976 Summer Olympics;Men's Marathon;Silver medal;Frank Shorter;1976 Summer Olympics
Finland;Wrestling;1932 Summer Olympics;Greco-Roman Welterweight;Silver medal;Väinö Kajander;1932 Summer Olympics
Norway;Ski Jumping;1952 Winter Olympics;Large Hill;Silver medal;Torbjørn Falkanger;1952 Winter Olympics
Sweden;Cross-Country Skiing;1932 Winter Olympics;Men's 18 km;Silver medal;Axel Wikström;1932 Winter Olympics
Austria;Rowing;1936 Summer Olympics;Men's Single Sculls;Silver medal;Josef Hasenöhrl;1936 Summer Olympics
Czechoslovakia;Wrestling ;1936 Summer Olympics;Men's Greco-Roman Lightweight;Silver medal;Josef Herda;1936 Summer Olympics
United States of America;Skeleton;2002 Winter Olympics;Men's Skeleton;Gold medal;Jimmy Shea;2002 Winter Olympics
Finland;Athletics;1932 Summer Olympics;Men's 10000 metres;Silver medal;Volmari Iso-Hollo;1932 Summer Olympics
United States of America;Speed Skating;2002 Winter Olympics;Men's 1500m;Gold medal;Derek Parra;2002 Winter Olympics
Italy;Weightlifting;1956 Summer Olympics;Men's Heavyweight +90 kg;Bronze medal;Alberto Pigaiani;1956 Summer Olympics
Austria;Athletics;1996 Summer Olympics;Women's 1500 metres;Bronze medal;Theresia Kiesl;1996 Summer Olympics
Soviet Union;Athletics;1980 Summer Olympics;Women's 800 metres;Bronze medal;Tatyana Providokhina;1980 Summer Olympics
German Democratic Republic;Athletics;1976 Summer Olympics;Men's Marathon;Gold medal;Waldemar Cierpinski;1976 Summer Olympics
German Democratic Republic;Swimming;1976 Summer Olympics;Women's 400 metre freestyle;Gold medal;Petra Thümer;1976 Summer Olympics
Canada;Swimming;1976 Summer Olympics;Women's 100 metre backstroke;Bronze medal;Nancy Garapick;1976 Summer Olympics
Russia;Weightlifting;2008 Summer Olympics;Men's Heavyweight 94.105 kg;Silver medal;Dmitry Klokov;2008 Summer Olympics
China;Diving;2008 Summer Olympics;Men's 10 metre platform;Silver medal;Zhou Lüxin;2008 Summer Olympics
Norway;Cross-Country Skiing;1972 Winter Olympics;Men's 30km;Silver medal;Pål Tyldum;1972 Winter Olympics
Finland;Canoeing;1952 Summer Olympics;Women's K-1 500 metres;Gold medal;Sylvi Saimo;1952 Summer Olympics
Mexico;Boxing;1972 Summer Olympics;Bantamweight;Silver medal;Alfonso Zamora;1972 Summer Olympics
United States of America;Figure Skating;1984 Winter Olympics;Women's Singles;Silver medal;Rosalynn Sumners;1984 Winter Olympics
Italy;Athletics;1952 Summer Olympics;Men's 50km Walk;Gold medal;Giuseppe Dordoni;1952 Summer Olympics
Cuba;Boxing;1976 Summer Olympics;Light Flyweight;Gold medal;Jorge Hernández;1976 Summer Olympics
Japan;Wrestling;1956 Summer Olympics;Freestyle Welterweight;Gold medal;Mitsuo Ikeda;1956 Summer Olympics
Australia;Athletics;1952 Summer Olympics;Women's 100 metres;Gold medal;Marjorie Jackson;1952 Summer Olympics
Romania;Shooting;1980 Summer Olympics;Men's 25 metre rapid fire pistol;Gold medal;Corneliu Ion;1980 Summer Olympics
Russia;Biathlon;2002 Winter Olympics;Women's 10 km pursuit;Gold medal;Olga Pyleva;2002 Winter Olympics
Brazil;Volleyball;1996 Summer Olympics;Men's beach volleyball;;Emanuel Rego;Zé Marco de Melo;1996 Summer Olympics
United States of America;Athletics;1988 Summer Olympics;Women's heptathlon;Gold medal;Jackie Joyner-Kersee;1988 Summer Olympics
United States of America;Volleyball;1996 Summer Olympics;Women's volleyball;;Paula Weishoff;Tonya Williams;Kristin Klein;Danielle Scott-Arruda;Elaine Youngs;Yoko Zetterlund;Beverly Oden;Lori Endicott;Tammy Liley;Caren Kemner;Elaina Oden;Tara Cross-Battle;1996 Summer Olympics
Italy;Luge;1994 Winter Olympics;Men's Doubles;Gold medal;Kurt Brugger;Wilfried Huber;1994 Winter Olympics
;Athletics;2004 Summer Olympics;Women's 1.500 metres;;Hayley Tullett;2004 Summer Olympics
China;Figure skating;2006 Winter Olympics;Pairs;Silver medal;Zhang Dan;2006 Winter Olympics
;Weightlifting;2008 Summer Olympics;Men's Bantamweight -56 kg;;Sergio Alvarez Boulet;2008 Summer Olympics
United Kingdom;Athletics;1964 Summer Olympics;Women's 4x100 metre relay;Bronze medal;Janet Simpson;1964 Summer Olympics
Latvia;Luge;2010 Winter Olympics;Doubles;Silver medal;Andris Šics;Juris Šics;2010 Winter Olympics
Romania;Boxing;1960 Summer Olympics;Middleweight;Bronze medal;Ion Monea;1960 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's long jump;Silver medal;Carl Johnson;1920 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's high jump;Gold medal;Richmond Landon;1920 Summer Olympics
Germany;Athletics;1996 Summer Olympics;Men's 110 metre hurdles;Bronze medal;Florian Schwarthoff;1996 Summer Olympics
Germany;Shooting;1996 Summer Olympics;Women's Double Trap;Silver medal;Susanne Kiermayer;1996 Summer Olympics
Russia;Wrestling;1996 Summer Olympics;Men's freestyle Middleweight;Gold medal;Khadzhimurad Magomedov;1996 Summer Olympics
United Kingdom;Rowing;1920 Summer Olympics;Men's single sculls;Silver medal;Jack Beresford;1920 Summer Olympics
Finland;Cross-Country Skiing;1994 Winter Olympics;Men's 50km;Silver medal;Mika Myllylä;1994 Winter Olympics
United Team of Germany;Boxing;1956 Summer Olympics;Lightweight;Silver medal;Harry Kurschat;1956 Summer Olympics
Hungary;Canoeing;1956 Summer Olympics;Men's K-1 10000 metres;Silver medal;Ferenc Hatlaczky;1956 Summer Olympics
Soviet Union;Cycling;1980 Summer Olympics;Men's individual road race;Bronze medal;Yuri Barinov;1980 Summer Olympics
United States of America;Shooting;1948 Summer Olympics;Men's 50 metre rifle; prone;Gold medal;Arthur Edwin Cook;1948 Summer Olympics
Ethiopia;Athletics;2000 Summer Olympics;Women's 5000 metres;Bronze medal;Gete Wami;2000 Summer Olympics
United States of America;Diving;1948 Summer Olympics;Men's 10 metre platform;Silver medal;Bruce Harlan;1948 Summer Olympics
Sweden;Swimming;1992 Summer Olympics;Men's 400 metre freestyle;Bronze medal;Anders Holmertz;1992 Summer Olympics
Japan;Wrestling;2000 Summer Olympics;Men's Greco-Roman Lightweight;Silver medal;Katsuhiko Nagata;2000 Summer Olympics
Romania;Gymnastics;1984 Summer Olympics;Women's vault;Bronze medal;Lavinia Agache;1984 Summer Olympics
Colombia;Cycling;2000 Summer Olympics;Women's cross-country;;Flor Marina Delgadillo;2000 Summer Olympics
Romania;Weightlifting;1984 Summer Olympics;Men's Featherweight 56-60 kg;Silver medal;Gelu Radu;1984 Summer Olympics
Romania;Shooting;2000 Summer Olympics;Men's 25 metre rapid fire pistol;Bronze medal;Iulian Raicea;2000 Summer Olympics
Bulgaria;Athletics;1992 Summer Olympics;Women's 100 metres hurdles;Bronze medal;Yordanka Donkova;1992 Summer Olympics
France;Weightlifting;1924 Summer Olympics; Men's Light Heavyweight 75-82.5 kg;Gold medal;Charles Rigoulot;1924 Summer Olympics
Finland;Wrestling;1912 Summer Olympics;Men's Greco-Roman featherweight;Bronze medal;Otto Lasanen;1912 Summer Olympics
Germany;Diving;1912 Summer Olympics;Men's 10 metre platform;Silver medal;Albert Zürner;1912 Summer Olympics
Turkey;Wrestling;1960 Summer Olympics;Greco-Roman Welterweight;Gold medal;Mithat Bayrak;1960 Summer Olympics
France;Alpine Skiing;1960 Winter Olympics;Men's Slalom;Bronze medal;Charles Bozon;1960 Winter Olympics
